id,date,value,factor,pct_change,method,return
1193,1970-05-01,515.44,0.9886892751823684,-1.1310724817631623,Compounding,57783.26364769525
1193,1970-05-01,515.44,0.9886892751823684,-1.1310724817631623,Buy the Dip,52449.72199663865
1194,1970-06-01,509.61,0.996585624300936,-0.34143756990639984,No Compounding,25512.646926080728
1194,1970-06-01,509.61,0.996585624300936,-0.34143756990639984,Compounding,56332.936336587816
1194,1970-06-01,509.61,0.996585624300936,-0.34143756990639984,Buy the Dip,50554.90929803223
1195,1970-07-01,507.87,1.0290625553783448,2.906255537834479,No Compounding,25510.66217732884
1195,1970-07-01,507.87,1.0290625553783448,2.906255537834479,Compounding,56328.55393262134
1195,1970-07-01,507.87,1.0290625553783448,2.906255537834479,Buy the Dip,50378.37636859096
1196,1970-08-01,522.63,1.0543979488356963,5.439794883569626,No Compounding,24927.38648757247
1196,1970-08-01,522.63,1.0543979488356963,5.439794883569626,Compounding,55040.65807481696
1196,1970-08-01,522.63,1.0543979488356963,5.439794883569626,Buy the Dip,50657.17396861165
1197,1970-09-01,551.06,1.0164773345915146,1.647733459151457,No Compounding,24383.914637244587
1197,1970-09-01,551.06,1.0164773345915146,1.647733459151457,Compounding,53840.65067323484
1197,1970-09-01,551.06,1.0164773345915146,1.647733459151457,Buy the Dip,52248.30336789288
1198,1970-10-01,560.14,0.9938943835469705,-0.6105616453029539,No Compounding,25015.710358124754
1198,1970-10-01,560.14,0.9938943835469705,-0.6105616453029539,Compounding,55235.68068424039
1198,1970-10-01,560.14,0.9938943835469705,-0.6105616453029539,Buy the Dip,54485.29443193609
1199,1970-11-01,556.72,1.0631017387555683,6.310173875556835,No Compounding,25745.2579393591
1199,1970-11-01,556.72,1.0631017387555683,6.310173875556835,Compounding,56846.55068010011
1199,1970-11-01,556.72,1.0631017387555683,6.310173875556835,Buy the Dip,56846.55068010011
1200,1970-12-01,591.85,1.0381853510179944,3.8185351017994362,No Compounding,25035.39748247022
1200,1970-12-01,591.85,1.0381853510179944,3.8185351017994362,Compounding,55279.150635657694
1200,1970-12-01,591.85,1.0381853510179944,3.8185351017994362,Buy the Dip,71258.29861659287
1201,1971-01-01,614.45,1.0361298722434698,3.612987224346975,No Compounding,24794.531695011796
1201,1971-01-01,614.45,1.0361298722434698,3.612987224346975,Compounding,54747.30942334167
1201,1971-01-01,614.45,1.0361298722434698,3.612987224346975,Buy the Dip,73267.56603297468
1202,1971-02-01,636.65,1.0230739024581796,2.307390245817964,No Compounding,24527.291290347915
1202,1971-02-01,636.65,1.0230739024581796,2.307390245817964,Compounding,54157.23201012334
1202,1971-02-01,636.65,1.0230739024581796,2.307390245817964,Buy the Dip,75096.48991629206
1203,1971-03-01,651.34,1.0315503423711119,3.1550342371111872,No Compounding,23443.823502318297
1203,1971-03-01,651.34,1.0315503423711119,3.1550342371111872,Compounding,51764.89215990489
1203,1971-03-01,651.34,1.0315503423711119,3.1550342371111872,Buy the Dip,74904.11386270156
1204,1971-04-01,671.89,0.9815148312967897,-1.8485168703210264,No Compounding,23049.010998824215
1204,1971-04-01,671.89,0.9815148312967897,-1.8485168703210264,Compounding,50893.13049249888
1204,1971-04-01,671.89,0.9815148312967897,-1.8485168703210264,Buy the Dip,75966.12086021139
1205,1971-05-01,659.47,0.9742520508893505,-2.574794911064948,No Compounding,23492.501554278435
1205,1971-05-01,659.47,0.9742520508893505,-2.574794911064948,Compounding,51872.37522938038
1205,1971-05-01,659.47,0.9742520508893505,-2.574794911064948,Buy the Dip,75996.53399362735
1206,1971-06-01,642.49,0.9903344799140842,-0.9665520085915813,No Compounding,23219.038428613676
1206,1971-06-01,642.49,0.9903344799140842,-0.9665520085915813,Compounding,51268.5578013765
1206,1971-06-01,642.49,0.9903344799140842,-0.9665520085915813,Buy the Dip,73177.92327413947
1207,1971-07-01,636.28,0.979820204941221,-2.017979505877898,No Compounding,24114.54076821525
1207,1971-07-01,636.28,0.979820204941221,-2.017979505877898,Compounding,53245.86248607667
1207,1971-07-01,636.28,0.979820204941221,-2.017979505877898,Buy the Dip,75265.63772282383
1208,1971-08-01,623.44,1.0222154497626073,2.2215449762607253,No Compounding,21952.8743744386
1208,1971-08-01,623.44,1.0222154497626073,2.2215449762607253,Compounding,48472.81734911455
1208,1971-08-01,623.44,1.0222154497626073,2.2215449762607253,Buy the Dip,67136.01094696709
1209,1971-09-01,637.29,0.9763686861554395,-2.363131384456052,No Compounding,21236.32882988906
1209,1971-09-01,637.29,0.9763686861554395,-2.363131384456052,Compounding,46890.656365962655
1209,1971-09-01,637.29,0.9763686861554395,-2.363131384456052,Buy the Dip,66387.4554374059
1210,1971-10-01,622.23,0.9536505793677579,-4.634942063224212,No Compounding,22414.38053452903
1210,1971-10-01,622.23,0.9536505793677579,-4.634942063224212,Compounding,49491.8412555968
1210,1971-10-01,622.23,0.9536505793677579,-4.634942063224212,Buy the Dip,68414.34361925832
1211,1971-11-01,593.39,1.0636680766443654,6.366807664436536,No Compounding,23897.77380811945
1211,1971-11-01,593.39,1.0636680766443654,6.366807664436536,Compounding,52767.23244042393
1211,1971-11-01,593.39,1.0636680766443654,6.366807664436536,Buy the Dip,69561.21306968691
1212,1971-12-01,631.17,1.041652803523615,4.1652803523615,No Compounding,22833.151132024654
1212,1971-12-01,631.17,1.041652803523615,4.1652803523615,Compounding,50416.50334482283
1212,1971-12-01,631.17,1.041652803523615,4.1652803523615,Buy the Dip,70693.85702222738
1213,1972-01-01,657.46,1.013460894959389,1.346089495938907,No Compounding,22829.221549599974
1213,1972-01-01,657.46,1.013460894959389,1.346089495938907,Compounding,50407.82667096769
1213,1972-01-01,657.46,1.013460894959389,1.346089495938907,Buy the Dip,73625.78119041034
1214,1972-02-01,666.31,1.0212813855412646,2.1281385541264575,No Compounding,23322.327445183175
1214,1972-02-01,666.31,1.0212813855412646,2.1281385541264575,Compounding,51496.624046777724
